method,reference,source_table,c_value,f1_ceiling,aupr_ceiling,f1_ratio,aupr_ratio
attention_inferred,dorothea_human,probe_priors,0.12501946070494457,0.2222529744091832,0.1251875477012731,7.294000833866284e-05,0.0018763567996356815
attention_inferred,dorothea_human,probe_priors,0.12695774691742434,0.22531057134074953,0.12712783559942006,7.19501695381237e-05,0.0018477189142050616
attention_inferred,dorothea_human,probe_priors,0.1288960331299041,0.22835766863762522,0.12906810953677886,7.09901003255707e-05,0.0018199422553102835
attention_inferred,dorothea_human,probe_priors,0.13083431934238388,0.23139432028993992,0.13100836958748358,7.005847760820444e-05,0.0017929885479732114
attention_inferred,dorothea_human,probe_priors,0.13277260555486362,0.23442057991829326,0.13294861582369352,6.915405555411899e-05,0.0017668217521760597
attention_inferred,dorothea_human,probe_priors,0.13471089176734338,0.2374365007769115,0.13488884831567657,6.827566003396401e-05,0.001741407902077111
attention_inferred,dorothea_human,probe_priors,0.13664917797982315,0.24044213575677056,0.13682906713188764,6.742218353565742e-05,0.0017167149589099116
attention_inferred,dorothea_human,probe_priors,0.13858746419230292,0.24343753738868856,0.1387692723390429,6.659258050583492e-05,0.0016927126762263176
attention_inferred,dorothea_human,probe_priors,0.14052575040478266,0.24642275784638593,0.14070946400218987,6.578586307683512e-05,0.001669372476291604
attention_inferred,dorothea_human,probe_priors,0.14246403661726242,0.2493978489495147,0.14264964218477386,6.500109714250199e-05,0.0016466673365695438
attention_inferred,trrust_human,probe_priors,0.07951339915373766,0.1473134084599053,0.08156091733724402,0.0,0.00011074330769870085
attention_inferred,trrust_human,probe_priors,0.08275884401715553,0.15286662302403556,0.08487284201113904,0.0,0.00010642186064278703
attention_inferred,trrust_human,probe_priors,0.08600428888057339,0.15838664683216766,0.08818387819338093,0.0,0.00010242604373851052
attention_inferred,trrust_human,probe_priors,0.08924973374399126,0.16387377656218516,0.09149404360160164,0.0,9.872036921000838e-05
attention_inferred,trrust_human,probe_priors,0.0924951786074091,0.16932830536664087,0.09480335475523424,0.0,9.527432640107106e-05
attention_inferred,trrust_human,probe_priors,0.09574062347082697,0.1747505229249648,0.0981118270985405,0.0,9.206153867458742e-05
attention_inferred,trrust_human,probe_priors,0.09898606833424484,0.1801407154947469,0.10141947510715726,0.0,8.905908609094447e-05
attention_inferred,trrust_human,probe_priors,0.1022315131976627,0.1854991659621141,0.10472631238084563,0.0,8.624695703998383e-05
attention_inferred,trrust_human,probe_priors,0.10547695806108057,0.19082615389121965,0.10803235172461668,0.0,8.360760106278957e-05
attention_inferred,trrust_human,probe_priors,0.10872240292449842,0.1961219555728634,0.1113376052200091,0.0,8.112556172748963e-05
attention_inferred,trrust_human,probe_priors,0.1119678477879163,0.20138684407226087,0.11464208428797679,0.0,7.878717332265037e-05
attention_inferred,trrust_human,probe_priors,0.11521329265133415,0.20662108927597767,0.11794579974459213,0.0,7.658030878951123e-05
attention_inferred,trrust_human,probe_priors,0.11845873751475201,0.21182495793804745,0.12124876185056886,0.0,7.449416907034867e-05
attention_inferred,trrust_human,probe_priors,0.12170418237816988,0.21699871372528892,0.12455098035544265,0.0,7.25191061450527e-05
attention_inferred,trrust_human,probe_priors,0.12494962724158774,0.22214261726183812,0.12785246453711605,0.0,7.064647363324469e-05
attention_inferred,trrust_human,probe_priors,0.1281950721050056,0.22725692617291274,0.13115322323736334,0.0,6.886850007887235e-05
attention_inferred,trrust_human,probe_priors,0.13144051696842346,0.2323418951278227,0.1344532648938021,0.0,6.717818099843765e-05
attention_inferred,trrust_human,probe_priors,0.13468596183184134,0.23739777588224287,0.1377525975687632,0.0,6.55691865291903e-05
attention_inferred,trrust_human,probe_priors,0.1379314066952592,0.24242481731976231,0.1410512289754283,0.0,6.403578210892574e-05
attention_inferred,trrust_human,probe_priors,0.14117685155867704,0.24742326549272456,0.14434916650155402,0.0,6.257276009120205e-05
attention_inferred,trrust_human,probe_priors,0.14442229642209492,0.252393363662373,0.14764641723105612,0.0,6.117538057650104e-05
attention_inferred,trrust_human,probe_priors,0.1476677412855128,0.257335352338315,0.15094298796369146,0.0,5.983932004207706e-05
attention_inferred,trrust_human,probe_priors,0.15091318614893065,0.2622494693173186,0.15423888523304485,0.0,5.8560626596979525e-05
attention_inferred,trrust_human,probe_priors,0.1541586310123485,0.2671359497214541,0.1575341153230005,0.0,5.7335680886310034e-05
attention_inferred,trrust_human,probe_priors,0.15740407587576638,0.2719950260355949,0.1608286842828554,0.0,5.616116182969719e-05
attention_inferred,trrust_human,probe_priors,0.16064952073918423,0.276826928144288,0.16412259794121328,0.0,5.503401651064522e-05
attention_inferred,trrust_human,probe_priors,0.16389496560260208,0.2816318833680084,0.16741586191878044,0.0,5.395143364162609e-05
attention_inferred,trrust_human,probe_priors,0.16714041046601996,0.2864101164988085,0.1707084816401709,0.0,5.291082011909386e-05
attention_inferred,trrust_human,probe_priors,0.17038585532943784,0.2911618498353741,0.1740004623448156,0.0,5.19097802566031e-05
attention_inferred,trrust_human,probe_priors,0.17363130019285566,0.2958873032174992,0.1772918090970596,0.0,5.094609734577141e-05
attention_inferred,trrust_human,probe_priors,0.17687674505627354,0.3005866940599901,0.18058252679552317,0.0,5.0017717246221636e-05
attention_inferred,trrust_human,probe_priors,0.18012218991969142,0.3052602373860099,0.18387262018179132,0.0,4.912273374870404e-05
attention_inferred,trrust_human,probe_priors,0.18336763478310927,0.30990814585987453,0.18716209384849344,0.0,4.825937549180408e-05
attention_inferred,trrust_human,probe_priors,0.18661307964652712,0.31453062981931085,0.19045095224682512,0.0,4.742599424318337e-05
attention_inferred,trrust_human,probe_priors,0.189858524509945,0.3191278973071864,0.1937391996935599,0.0,4.662105438214507e-05
attention_inferred,trrust_human,probe_priors,0.19310396937336288,0.32370015410272107,0.1970268403775942,0.0,4.584312344225093e-05
attention_inferred,trrust_human,probe_priors,0.1963494142367807,0.32824760375219164,0.20031387836606387,0.0,4.5090863591391225e-05
attention_inferred,trrust_human,probe_priors,0.19959485910019859,0.3327704475991373,0.2036003176100677,0.0,4.43630239426507e-05
